Date,DXY_Dollar_Index,Gold_Spot,Brent_Crude_Oil,US_Treasury_2Y,US_Treasury_5Y,US_Treasury_10Y,US_Treasury_30Y
2006-12-01,82.48,645.8,64.89,4.5209,4.38895,4.4356,4.54725
2006-12-08,83.33,625.15,62.39,4.6725,4.5174,4.54565,4.6522
2006-12-15,84.06,615.25,63.34,4.7191,4.57075,4.5958,4.7168
2006-12-22,83.94,621.0,62.06,4.7089,4.58785,4.6244,4.76295
2006-12-29,83.72,636.8,60.79,4.8163,4.68875,4.6962,4.8085
2007-01-05,84.63,607.4,55.67,4.75565,4.63715,4.6452,4.73645
2007-01-12,85.03,626.9,52.87,4.8886,4.7649,4.78005,4.8637
2007-01-19,84.86,635.5,53.51,4.92355,4.7823,4.77925,4.8665
2007-01-26,85.28,646.6,55.37,4.9622,4.86655,4.8733,4.9717
2007-02-02,84.96,648.25,58.52,4.93305,4.81485,4.82345,4.92305
2007-02-09,84.87,666.65,58.8,4.90565,4.7755,4.7827,4.865
2007-02-16,84.09,669.05,58.78,4.8394,4.67965,4.69215,4.78695
2007-02-23,84.07,682.85,60.64,4.8018,4.6533,4.6693,4.77505
2007-03-02,83.74,642.95,61.63,4.5314,4.43175,4.4999,4.6363
2007-03-09,84.24,650.275,61.15,4.6693,4.5492,4.58805,4.71945
2007-03-16,83.23,652.9,60.38,4.59395,4.46895,4.5455,4.6955
2007-03-23,83.28,657.1,63.2,4.6049,4.51095,4.6135,4.8032
2007-03-30,82.93,663.6,68.1,4.58065,4.5353,4.6443,4.8402
2007-04-06,82.99,674.5,68.1,4.7381,4.66685,4.75255,4.92335
2007-04-13,82.129,685.6,68.96,4.76325,4.686,4.7618,4.9311
2007-04-20,81.643,691.35,66.61,4.65625,4.5699,4.6713,4.8462
2007-04-27,81.529,680.95,68.32,4.6551,4.58745,4.69545,4.88465
2007-05-04,81.741,688.75,65.25,4.67485,4.55115,4.6412,4.8071
2007-05-11,82.116,671.05,66.92,4.70765,4.58495,4.6727,4.8503
2007-05-18,82.197,661.65,69.45,4.8159,4.7259,4.80315,4.95865
2007-05-25,82.331,656.15,70.74,4.85995,4.79365,4.8613,5.0045
2007-06-01,82.322,671.45,68.8,4.97065,4.92125,4.9516,5.05775
2007-06-08,82.691,648.55,68.72,4.99625,5.0416,5.1043,5.20315
2007-06-15,82.851,655.75,71.55,5.0203,5.08965,5.1648,5.2601
2007-06-22,82.336,654.35,71.12,4.91385,5.0113,5.13315,5.2514
2007-06-29,81.92,649.65,71.35,4.86235,4.92575,5.02235,5.12385
2007-07-06,81.465,655.9,75.5,4.9835,5.08945,5.18345,5.269
2007-07-13,80.576,667.3,77.61,4.92245,5.0022,5.09385,5.1849
2007-07-20,80.288,683.7,77.4,4.7644,4.8392,4.94765,5.0581
2007-07-27,80.946,661.4,76.36,4.5032,4.5703,4.76005,4.93215
2007-08-03,80.177,673.3,74.45,4.4126,4.4817,4.67405,4.86015
2007-08-10,80.679,672.8,70.5,4.4625,4.5926,4.8086,5.04235
2007-08-17,81.426,657.2,70.2,4.1804,4.36025,4.68565,5.00155
2007-08-24,80.667,668.4,70.72,4.28405,4.4087,4.6097,4.8833
2007-08-31,80.791,673.0,72.57,4.14855,4.2451,4.5243,4.82485
2007-09-07,79.959,700.8,74.97,3.9039,4.03815,4.38255,4.70065
2007-09-14,79.617,707.1,76.3,4.039,4.1722,4.4525,4.7196
2007-09-21,78.597,731.2,79.03,4.04755,4.29825,4.62525,4.8872
2007-09-28,77.719,744.1,78.99,3.9794,4.25085,4.59045,4.83695
2007-10-05,78.308,742.7,78.83,4.0785,4.3308,4.6376,4.86055
2007-10-12,78.224,749.6,80.64,4.23,4.41165,4.6842,4.90015
2007-10-19,77.407,765.2,83.5,3.7861,4.03305,4.3934,4.68705
2007-10-26,77.027,785.4,88.76,3.76615,4.05095,4.39965,4.69365
2007-11-02,76.337,807.5,91.85,3.6721,3.94805,4.3155,4.61505
2007-11-09,75.4,831.7,93.16,3.3965,3.73995,4.20565,4.59265
2007-11-16,75.827,787.3,91.51,3.33815,3.7004,4.1718,4.53805
2007-11-23,75.053,823.4,95.67,3.05675,3.40255,4.00365,4.4246
2007-11-30,76.147,782.9,88.19,3.0089,3.39205,3.94545,4.38165
2007-12-07,76.288,795.6,88.61,3.1082,3.4887,4.10485,4.57155
2007-12-14,77.436,794.9,92.68,3.31385,3.63275,4.2379,4.65975
2007-12-21,77.721,810.8,92.45,3.183,3.57655,4.1689,4.58235
2007-12-28,76.218,839.0,94.15,3.0998,3.49795,4.07315,4.49485
2008-01-04,75.793,861.5,96.75,2.7338,3.1773,3.8708,4.3726
2008-01-11,75.978,895.75,91.3,2.56745,3.04225,3.78725,4.37415
2008-01-18,76.383,884.55,89.23,2.34405,2.8423,3.63435,4.28185
2008-01-25,75.973,913.5,90.96,2.17355,2.7495,3.5531,4.26865
2008-02-01,75.445,910.375,89.51,2.07055,2.74175,3.59355,4.31145
2008-02-08,76.67,918.35,91.95,1.936,2.69235,3.64655,4.4251
2008-02-15,76.101,902.7,94.81,1.89695,2.75325,3.7609,4.58015
2008-02-22,75.52,945.5,97.1,2.019,2.83115,3.8025,4.58215
2008-02-29,73.714,972.475,100.1,1.6218,2.46975,3.5158,4.4079
2008-03-07,73.027,973.4,102.65,1.5258,2.43785,3.5383,4.54575
2008-03-14,71.657,993.2,107.45,1.48075,2.40245,3.46225,4.37575
2008-03-21,72.747,919.5,99.98,1.6086,2.3803,3.3373,4.1653
2008-03-28,71.678,930.4,103.36,1.64235,2.4925,3.4386,4.30375
2008-04-04,72.021,913.3,104.77,1.81645,2.6186,3.4657,4.3074
2008-04-11,71.808,925.3,108.72,1.74175,2.5716,3.476,4.30175
2008-04-18,72.012,916.4,114.2,2.1294,2.8917,3.70425,4.49615
2008-04-25,72.79,886.15,116.65,2.4229,3.1735,3.8683,4.5958
2008-05-02,73.5,856.45,114.45,2.45325,3.16415,3.85615,4.57755
2008-05-09,73.05,884.9,125.55,2.2309,2.96815,3.7748,4.52545
2008-05-16,72.844,902.3,125.1,2.451,3.1119,3.8503,4.57765
2008-05-23,71.888,925.2,130.75,2.43985,3.1428,3.8463,4.57575
2008-05-30,72.879,886.9,128.27,2.65125,3.42535,4.0644,4.72285
2008-06-06,72.39,902.35,136.87,2.3825,3.1894,3.92455,4.6227
2008-06-13,74.146,871.2,134.26,3.0223,3.71905,4.25755,4.7903
2008-06-20,73.03,901.85,134.39,2.88755,3.5884,4.16505,4.72635
2008-06-27,72.36,927.85,140.37,2.62075,3.3374,3.96515,4.52145
2008-07-04,72.731,933.3,144.6,2.53105,3.2841,3.9827,4.53385
2008-07-11,72.096,964.7,144.42,2.6116,3.28715,3.96925,4.54325
2008-07-18,72.189,955.3,130.0,2.6441,3.4162,4.08575,4.6465
2008-07-25,72.86,929.7,124.34,2.70555,3.44525,4.09895,4.68925
2008-08-01,73.424,910.55,124.26,2.49475,3.2178,3.9385,4.56625
2008-08-08,75.845,856.35,113.1,2.5024,3.201,3.9314,4.5405
2008-08-15,77.18,786.5,112.69,2.38075,3.1005,3.8415,4.4672
2008-08-22,76.805,823.1,113.9,2.40815,3.13875,3.87045,4.4662
2008-08-29,77.381,830.8,115.17,2.37305,3.09015,3.82095,4.4236
2008-09-05,78.932,803.8,104.58,2.2956,2.97445,3.6949,4.3047
2008-09-12,78.966,764.45,97.0,2.20675,2.9475,3.7187,4.31385
2008-09-19,77.68,873.15,99.85,2.1699,3.0381,3.81335,4.3842
2008-09-26,76.953,879.9,103.53,2.0922,3.05205,3.85485,4.37115
2008-10-03,80.313,836.8,89.26,1.5882,2.62435,3.6003,4.08895
2008-10-10,82.997,851.4,76.03,1.5937,2.7569,3.87335,4.12835
2008-10-17,82.413,783.7,69.75,1.6168,2.8325,3.93375,4.32105
2008-10-24,86.44,735.3,62.7,1.4958,2.5726,3.67805,4.0704
2008-10-31,85.633,725.05,65.6,1.562,2.80735,3.9664,4.37015
2008-11-07,85.907,737.45,57.5,1.3288,2.5597,3.79005,4.266
2008-11-14,86.365,742.55,53.85,1.2157,2.32505,3.72735,4.2288
2008-11-21,88.191,800.0,49.25,1.11495,2.0538,3.2189,3.6881
2008-11-28,86.517,817.5,54.5,0.9926,1.91435,2.9165,3.4362
2008-12-05,87.121,757.4,39.74,0.92635,1.69515,2.69685,3.1198
2008-12-12,83.711,821.95,46.75,0.7588,1.51245,2.5722,3.04355
2008-12-19,81.07,838.35,44.42,0.7419,1.3552,2.12795,2.5514
2008-12-26,80.97,869.65,38.44,0.89475,1.513,2.13345,2.6053
2009-01-02,81.501,876.55,47.04,0.82535,1.65405,2.358,2.7845
2009-01-09,82.483,853.45,43.75,0.7507,1.509,2.3909,3.0593
2009-01-16,84.045,843.35,46.18,0.72295,1.4802,2.33965,2.91365
2009-01-23,85.582,899.4,47.46,0.8156,1.62995,2.6129,3.31975
2009-01-30,85.834,927.75,45.93,0.94435,1.8792,2.84825,3.60655
2009-02-06,85.286,911.55,46.4,0.9971,1.96105,2.9846,3.6993
2009-02-13,86.095,942.1,45.0,0.95995,1.876,2.89125,3.67715
2009-02-20,86.593,993.3,41.83,0.95045,1.8314,2.78875,3.5768
2009-02-27,88.166,945.15,45.84,0.97015,1.98645,3.01775,3.7065
2009-03-06,88.552,937.35,44.59,0.939,1.87995,2.86985,3.55615
2009-03-13,87.251,928.2,44.71,0.96185,1.86665,2.89205,3.67555
2009-03-20,83.708,952.85,51.4,0.8688,1.64175,2.62905,3.654
2009-03-27,85.142,923.05,51.6,0.9106,1.79925,2.7598,3.61585
2009-04-03,84.176,893.9,53.55,0.95285,1.85495,2.88925,3.692
2009-04-10,85.537,881.65,54.1,0.9494,1.88405,2.9253,3.7454
2009-04-17,85.896,868.9,53.3,0.9664,1.8937,2.9479,3.8036
2009-04-24,84.716,913.1,51.59,0.957,1.9445,2.995,3.87935
2009-05-01,84.542,887.3,52.65,0.9048,2.01225,3.15615,4.0752
2009-05-08,82.444,917.05,58.5,0.9793,2.13805,3.28745,4.26765
2009-05-15,82.948,931.7,56.1,0.85065,1.9998,3.1332,4.0842
2009-05-22,80.04,957.35,60.63,0.89335,2.20355,3.4476,4.3822
2009-05-29,79.233,980.0,65.8,0.9205,2.34075,3.4594,4.3304
2009-06-05,80.668,956.3,68.5,1.2943,2.83345,3.8388,4.6412
2009-06-12,80.128,938.9,70.76,1.26985,2.78205,3.8024,4.6438
2009-06-19,80.334,934.3,69.3,1.19975,2.78915,3.77195,4.5051
2009-06-26,79.903,939.05,69.15,1.1072,2.55135,3.5276,4.33505
2009-07-03,80.453,932.5,65.43,0.98545,2.42575,3.50035,4.32465
2009-07-10,80.233,913.15,60.29,0.9018,2.21395,3.3026,4.19345
2009-07-17,79.347,937.7,65.33,0.9888,2.50405,3.64715,4.53605
2009-07-24,78.749,951.35,70.32,1.0018,2.5281,3.65785,4.5416
2009-07-31,78.347,954.75,71.8,1.1133,2.5144,3.47955,4.2988
2009-08-07,78.975,954.9,73.19,1.30175,2.8215,3.8532,4.6065
2009-08-14,78.885,947.35,72.5,1.06275,2.50425,3.57065,4.41965
2009-08-21,78.044,954.15,74.08,1.09605,2.56295,3.5677,4.3739
2009-08-28,78.366,955.95,72.87,1.01385,2.44845,3.4484,4.1968
2009-09-04,78.136,994.4,66.56,0.93005,2.35655,3.4443,4.25985
2009-09-11,76.608,1005.85,67.5,0.9053,2.2987,3.3479,4.18145
2009-09-18,76.425,1007.15,71.1,0.9979,2.45335,3.46785,4.2196
2009-09-25,76.812,991.75,65.15,0.98615,2.3642,3.3211,4.09255
2009-10-02,77.003,1002.35,67.68,0.8708,2.20615,3.2179,3.9975
2009-10-09,76.431,1049.25,70.25,0.9718,2.34975,3.383,4.2233
2009-10-16,75.597,1053.25,77.14,0.95735,2.35215,3.4106,4.2416
2009-10-23,75.468,1054.95,78.16,1.01015,2.4476,3.49275,4.29045
2009-10-30,76.3,1044.9,75.09,0.89705,2.30755,3.38745,4.22755
2009-11-06,75.819,1095.05,76.05,0.8461,2.29805,3.4999,4.39835
2009-11-13,75.334,1119.2,75.55,0.8043,2.25345,3.4224,4.3581
2009-11-20,75.656,1149.95,77.6,0.72925,2.17935,3.36845,4.29485
2009-11-27,74.996,1177.7,77.12,0.685,2.03335,3.20605,4.2075
2009-12-04,75.911,1161.7,77.74,0.8436,2.24665,3.47685,4.40125
2009-12-11,76.573,1114.9,71.66,0.8083,2.2529,3.5517,4.5014
2009-12-18,77.821,1112.5,73.88,0.79665,2.27695,3.54535,4.45945
2009-12-25,77.645,1104.5,76.1,0.96575,2.53575,3.80385,4.67475
2010-01-01,77.86,1097.35,78.0,1.1414,2.68135,3.83585,4.6341
2010-01-08,77.471,1136.6,81.43,0.9739,2.5895,3.8346,4.716
2010-01-15,77.323,1130.9,77.2,0.86615,2.4176,3.67535,4.5809
2010-01-22,78.277,1093.0,72.38,0.79775,2.33555,3.6004,4.5332
2010-01-29,79.462,1081.55,71.18,0.81375,2.32405,3.5863,4.4923
2010-02-05,80.441,1065.45,70.3,0.7653,2.23825,3.57025,4.52105
2010-02-12,80.316,1093.4,72.9,0.82855,2.33125,3.69375,4.6522
2010-02-19,80.643,1118.85,78.45,0.91775,2.45165,3.77545,4.7041
2010-02-26,80.362,1116.5,77.65,0.81375,2.30345,3.61825,4.5576
2010-03-05,80.432,1132.05,80.08,0.8969,2.34315,3.68055,4.64475
2010-03-12,79.833,1102.45,79.46,0.95765,2.40935,3.70155,4.62575
2010-03-19,80.724,1107.55,79.8,0.99515,2.45505,3.6911,4.58135
2010-03-26,81.676,1106.6,79.36,1.0455,2.59305,3.8497,4.7437
2010-04-02,81.293,1120.5,84.42,1.10165,2.66245,3.9416,4.7999
2010-04-09,81.093,1160.9,84.93,1.0583,2.62735,3.87855,4.73425
2010-04-16,80.824,1137.45,85.66,0.95735,2.4695,3.7693,4.6715
2010-04-23,81.352,1157.4,87.21,1.06765,2.59065,3.81605,4.66265
2010-04-30,81.866,1179.25,87.47,0.9623,2.41645,3.658,4.5191
2010-05-07,84.45,1208.3,78.58,0.82,2.1668,3.41895,4.2686
2010-05-14,86.095,1233.05,77.2,0.788,2.15475,3.45345,4.3408
2010-05-21,85.371,1177.15,72.11,0.7595,2.0243,3.23515,4.0996
2010-05-28,86.48,1214.81,74.2,0.7717,2.0977,3.30235,4.2152
2010-06-04,88.233,1220.0,71.66,0.7281,1.98755,3.2059,4.1321
2010-06-11,87.507,1227.4,74.79,0.7319,2.0243,3.2319,4.1502
2010-06-18,85.699,1257.35,78.42,0.71145,2.01395,3.22315,4.1466
2010-06-25,85.313,1255.5,78.41,0.65255,1.90215,3.1087,4.0634
2010-07-02,84.427,1211.6,71.93,0.625,1.8165,2.9797,3.94205
2010-07-09,83.947,1212.0,75.16,0.631,1.83855,3.0538,4.0383
2010-07-16,82.486,1193.65,75.35,0.5866,1.6693,2.9242,3.9392
2010-07-23,82.464,1189.1,77.34,0.58625,1.7346,2.9989,4.0172
2010-07-30,81.539,1180.9,78.26,0.55205,1.59645,2.9034,3.98855
2010-08-06,80.407,1205.3,80.36,0.5056,1.50465,2.821,3.9936
2010-08-13,82.948,1215.55,75.25,0.5305,1.454,2.6779,3.86175
2010-08-20,83.057,1228.05,74.33,0.49315,1.45045,2.6133,3.6606
2010-08-27,82.918,1238.2,76.93,0.5579,1.4933,2.6447,3.68875
2010-09-03,82.102,1247.1,76.62,0.5159,1.48025,2.7006,3.79065
2010-09-10,82.698,1246.45,78.15,0.5693,1.58095,2.7945,3.8678
2010-09-17,81.398,1274.9,77.97,0.4659,1.4413,2.7381,3.90375
2010-09-24,79.395,1296.95,78.8,0.4423,1.3478,2.6095,3.79225
2010-10-01,78.088,1318.8,83.81,0.4204,1.2589,2.5124,3.71635
2010-10-08,77.325,1346.8,84.19,0.3451,1.1049,2.3946,3.74625
2010-10-15,77.041,1369.15,82.76,0.3649,1.1872,2.566,3.98455
2010-10-22,77.472,1328.2,82.9,0.3567,1.1511,2.55955,3.9329
2010-10-29,77.266,1359.55,83.14,0.33765,1.1677,2.602,3.98325
2010-11-05,76.548,1393.9,88.47,0.36905,1.0948,2.5385,4.12205
2010-11-12,78.082,1368.945,86.04,0.50945,1.36195,2.788,4.28955
2010-11-19,78.504,1353.5,84.13,0.5108,1.5227,2.87135,4.2453
2010-11-26,80.357,1364.425,85.8,0.51375,1.52975,2.869,4.2121
2010-12-03,79.377,1415.045,91.68,0.47425,1.6166,3.0064,4.3139
2010-12-10,80.07,1386.05,90.53,0.6423,1.98855,3.3219,4.43085
2010-12-17,80.373,1375.405,91.75,0.6072,1.96205,3.3289,4.4352
2010-12-24,80.496,1384.75,93.46,0.65335,2.05785,3.396,4.47125
2010-12-31,79.028,1421.45,94.59,0.60125,2.00595,3.28675,4.33505
2011-01-07,81.012,1369.6,93.72,0.5951,1.96505,3.3266,4.48705
2011-01-14,79.162,1361.85,98.65,0.5786,1.9172,3.3299,4.53305
2011-01-21,78.213,1342.505,97.59,0.61075,2.01205,3.40715,4.566
2011-01-28,78.133,1335.345,99.33,0.54435,1.92345,3.32825,4.5352
2011-02-04,78.044,1349.25,100.1,0.7504,2.26425,3.63665,4.73065
2011-02-11,78.46,1356.1,101.55,0.83625,2.35815,3.63625,4.6895
2011-02-18,77.664,1387.3,102.82,0.74895,2.26965,3.58085,4.68705
2011-02-25,77.275,1409.25,112.43,0.7176,2.1623,3.41525,4.49695
2011-03-04,76.4,1429.295,115.99,0.68265,2.18235,3.4909,4.59815
2011-03-11,76.776,1417.4,113.44,0.643,2.05255,3.40155,4.5466
2011-03-18,75.718,1419.55,114.49,0.5865,1.93095,3.2669,4.41665
2011-03-25,76.217,1429.65,116.02,0.73355,2.15425,3.44155,4.49835
2011-04-01,75.833,1428.38,119.1,0.7996,2.24085,3.4487,4.4871
2011-04-08,75.066,1475.1,126.9,0.8121,2.31265,3.58195,4.64215
2011-04-15,74.832,1486.5,123.73,0.6914,2.1229,3.41255,4.46935
2011-04-22,73.995,1508.13,124.04,0.65825,2.1082,3.39355,4.46555
2011-04-29,72.933,1565.6,126.03,0.60725,1.9711,3.28905,4.3968
2011-05-06,74.841,1495.25,109.24,0.5513,1.85715,3.1486,4.2877
2011-05-13,75.757,1494.555,113.84,0.53455,1.83185,3.16815,4.30505
2011-05-20,75.435,1513.55,112.42,0.5134,1.79395,3.14605,4.299
2011-05-27,74.954,1536.65,115.0,0.4784,1.7181,3.0708,4.24105
2011-06-03,73.783,1542.5,116.05,0.42675,1.59855,2.99045,4.22555
2011-06-10,74.795,1531.9,118.59,0.3981,1.56115,2.972,4.1834
2011-06-17,74.988,1539.5,113.2,0.37695,1.52525,2.9427,4.20365
2011-06-24,75.665,1502.15,105.67,0.33505,1.3739,2.8699,4.18725
2011-07-01,74.349,1486.5,111.24,0.4719,1.78445,3.1814,4.3917
2011-07-08,75.179,1543.95,118.3,0.3929,1.57295,3.02775,4.28515
2011-07-15,75.126,1594.1,117.66,0.3569,1.4401,2.9067,4.247
2011-07-22,74.201,1599.25,118.51,0.3892,1.50735,2.963,4.25745
2011-07-29,73.897,1626.64,116.85,0.35735,1.35,2.7916,4.12285
2011-08-05,74.598,1665.0,109.85,0.2898,1.254,2.562,3.8458
2011-08-12,74.607,1746.6,107.8,0.19115,0.9599,2.2592,3.7261
2011-08-19,74.009,1852.45,109.22,0.19135,0.8932,2.06665,3.3952
2011-08-26,73.814,1828.55,111.25,0.19355,0.9399,2.189,3.53705
2011-09-02,74.756,1884.2,112.52,0.20005,0.8652,1.9918,3.29575
2011-09-09,77.192,1857.81,112.53,0.1708,0.8015,1.91395,3.24405
2011-09-16,76.599,1811.95,111.9,0.1712,0.91905,2.0557,3.31615
2011-09-23,78.501,1656.585,104.36,0.22045,0.8588,1.8291,2.89705
2011-09-30,78.553,1623.75,102.15,0.245,0.9542,1.9163,2.91335
2011-10-07,78.726,1639.45,105.91,0.2942,1.0801,2.0746,3.0145
2011-10-14,76.623,1679.95,114.69,0.2674,1.117,2.2504,3.23575
2011-10-21,76.395,1641.02,109.79,0.26885,1.0627,2.2139,3.26105
2011-10-28,75.067,1742.95,110.16,0.29115,1.13375,2.323,3.3782
2011-11-04,76.962,1754.15,112.48,0.22035,0.8811,2.03715,3.0931
2011-11-11,76.945,1788.995,114.19,0.232,0.908,2.05645,3.1081
2011-11-18,78.064,1723.05,107.81,0.28025,0.9133,2.00435,2.99255
2011-11-25,79.686,1680.13,106.64,0.27545,0.9327,1.9644,2.9198
2011-12-02,78.625,1745.25,110.3,0.25195,0.91435,2.0322,3.02335
2011-12-09,78.632,1711.095,108.99,0.2221,0.8887,2.062,3.1072
2011-12-16,80.256,1597.945,103.65,0.22385,0.8016,1.84995,2.84815
2011-12-23,79.93,1606.6,108.0,0.28835,0.97545,2.02005,3.05045
2011-12-30,80.178,1564.3,107.22,0.245,0.8326,1.87535,2.89025
2012-01-06,81.254,1616.845,113.4,0.2579,0.8525,1.95695,3.0144
2012-01-13,81.515,1639.35,111.04,0.2233,0.7904,1.8688,2.91305
2012-01-20,80.223,1666.9,110.23,0.2403,0.8855,2.0237,3.10145
2012-01-27,78.902,1738.895,111.32,0.21275,0.7482,1.89015,3.0566
2012-02-03,78.924,1725.3,114.71,0.23615,0.7685,1.92325,3.1224
2012-02-10,79.114,1719.845,117.61,0.2759,0.8195,1.98355,3.1359
2012-02-17,79.331,1722.445,119.95,0.2924,0.8588,1.9991,3.1452
2012-02-24,78.352,1773.495,125.07,0.30685,0.8934,1.97655,3.0984
2012-03-02,79.403,1712.295,123.32,0.27565,0.8405,1.97825,3.1048
2012-03-09,80.041,1713.095,125.71,0.3198,0.89675,2.02875,3.1794
2012-03-16,79.786,1660.65,126.16,0.3648,1.1166,2.2967,3.407
2012-03-23,79.345,1662.265,125.21,0.3537,1.08305,2.2326,3.3064
2012-03-30,79.004,1668.9,122.8,0.33455,1.0394,2.2133,3.34175
2012-04-06,79.886,1639.495,123.29,0.3175,0.8898,2.0465,3.2041
2012-04-13,79.888,1659.0,121.81,0.268,0.8508,1.98845,3.1338
2012-04-20,79.194,1642.7,118.85,0.2682,0.8405,1.95765,3.1168
2012-04-27,78.709,1662.05,119.75,0.2598,0.8247,1.93565,3.1192
2012-05-04,79.498,1642.83,113.2,0.25595,0.7829,1.87775,3.0709
2012-05-11,80.264,1580.05,112.03,0.26,0.74805,1.84015,3.0135
2012-05-18,81.292,1593.085,107.31,0.2964,0.7452,1.72175,2.80115
2012-05-25,82.402,1573.45,106.9,0.29115,0.7614,1.74565,2.8481
2012-06-01,82.89,1626.25,98.82,0.24805,0.621,1.45785,2.5271
2012-06-08,82.511,1594.45,99.76,0.2679,0.7107,1.63105,2.74245
2012-06-15,81.628,1626.76,97.31,0.2721,0.674,1.58485,2.69275
2012-06-22,82.256,1572.15,91.33,0.30075,0.7535,1.67505,2.76005
2012-06-29,81.627,1598.6,97.57,0.30305,0.7157,1.64235,2.7529
2012-07-06,83.377,1582.9,98.15,0.2718,0.6437,1.54825,2.66235
2012-07-13,83.349,1589.05,102.85,0.24,0.6209,1.49015,2.577
2012-07-20,83.478,1583.63,106.74,0.2035,0.5756,1.45755,2.5455
2012-07-27,82.709,1624.05,106.65,0.24055,0.6543,1.54375,2.62085
2012-08-03,82.375,1603.2,108.71,0.2376,0.6652,1.56735,2.6483
2012-08-10,82.553,1620.35,113.54,0.2626,0.7061,1.65815,2.7477
2012-08-17,82.596,1616.2,113.76,0.2882,0.7978,1.81305,2.9301
2012-08-24,81.593,1670.35,113.51,0.26945,0.7085,1.68565,2.7987
2012-08-31,81.208,1691.15,114.92,0.2244,0.5876,1.54755,2.66775
2012-09-07,80.252,1736.5,114.6,0.252,0.6434,1.66695,2.8206
2012-09-14,78.847,1771.62,116.92,0.252,0.7175,1.86865,3.0897
2012-09-21,79.328,1773.05,111.42,0.26015,0.6693,1.75365,2.9466
2012-09-28,79.935,1771.625,112.22,0.23235,0.6242,1.6318,2.8222
2012-10-05,79.337,1781.5,112.04,0.2599,0.6746,1.7015,2.9695
