,VIX
2008-02-01,24.02
2008-02-08,28.01
2008-02-15,25.02
2008-02-22,24.06
2008-02-29,26.54
2008-03-07,27.49
2008-03-14,31.16
2008-03-21,26.62
2008-03-28,25.71
2008-04-04,22.45
2008-04-11,23.46
2008-04-18,20.13
2008-04-25,19.59
2008-05-02,18.18
2008-05-09,19.41
2008-05-16,16.47
2008-05-23,19.55
2008-05-30,17.83
2008-06-06,23.56
2008-06-13,21.22
2008-06-20,22.87
2008-06-27,23.44
2008-07-04,24.79
2008-07-11,27.49
2008-07-18,24.05
2008-07-25,22.91
2008-08-01,22.57
2008-08-08,20.66
2008-08-15,19.58
2008-08-22,18.81
2008-08-29,20.65
2008-09-05,23.06
2008-09-12,25.66
2008-09-19,32.07
2008-09-26,34.74
2008-10-03,45.14
2008-10-10,69.95
2008-10-17,70.33
2008-10-24,79.13
2008-10-31,59.89
2008-11-07,56.1
2008-11-14,66.31
2008-11-21,72.67
2008-11-28,55.84
2008-12-05,59.93
2008-12-12,54.28
2008-12-19,44.93
2008-12-26,43.38
2009-01-02,39.19
2009-01-09,42.82
2009-01-16,46.11
2009-01-23,47.27
2009-01-30,44.84
2009-02-06,43.37
2009-02-13,42.93
2009-02-20,49.3
2009-02-27,46.35
2009-03-06,49.33
2009-03-13,42.36
2009-03-20,45.89
2009-03-27,41.04
2009-04-03,39.7
2009-04-10,36.53
2009-04-17,33.94
2009-04-24,36.82
2009-05-01,35.3
2009-05-08,32.05
2009-05-15,33.12
2009-05-22,32.63
2009-05-29,28.92
2009-06-05,29.62
2009-06-12,28.15
2009-06-19,27.99
2009-06-26,25.93
2009-07-03,27.95
2009-07-10,29.02
2009-07-17,24.34
2009-07-24,23.09
2009-07-31,25.92
2009-08-07,24.76
2009-08-14,24.27
2009-08-21,25.01
2009-08-28,24.76
2009-09-04,25.26
2009-09-11,24.15
2009-09-18,23.92
2009-09-25,25.61
2009-10-02,28.68
2009-10-09,23.12
2009-10-16,21.43
2009-10-23,22.27
2009-10-30,30.69
2009-11-06,24.19
2009-11-13,23.36
2009-11-20,22.19
2009-11-27,24.85
2009-12-04,21.25
2009-12-11,21.59
2009-12-18,21.68
2009-12-25,19.47
2010-01-01,21.68
2010-01-08,18.13
2010-01-15,17.91
2010-01-22,27.31
2010-01-29,24.62
2010-02-05,26.11
2010-02-12,22.73
2010-02-19,20.02
2010-02-26,19.5
2010-03-05,17.42
2010-03-12,17.58
2010-03-19,16.97
2010-03-26,17.77
2010-04-02,17.47
2010-04-09,16.14
2010-04-16,18.36
2010-04-23,16.62
2010-04-30,22.05
2010-05-07,40.95
2010-05-14,31.24
2010-05-21,40.1
2010-05-28,32.07
2010-06-04,35.48
2010-06-11,28.79
2010-06-18,23.95
2010-06-25,28.53
2010-07-02,30.12
2010-07-09,24.98
2010-07-16,26.25
2010-07-23,23.47
2010-07-30,23.5
2010-08-06,21.74
2010-08-13,26.24
2010-08-20,25.49
2010-08-27,24.45
2010-09-03,21.31
2010-09-10,21.99
2010-09-17,22.01
2010-09-24,21.71
2010-10-01,22.5
2010-10-08,20.71
2010-10-15,19.03
2010-10-22,18.78
2010-10-29,21.2
2010-11-05,18.26
2010-11-12,20.61
2010-11-19,18.04
2010-11-26,22.22
2010-12-03,18.01
2010-12-10,17.61
2010-12-17,16.11
2010-12-24,16.47
2010-12-31,17.75
2011-01-07,17.14
2011-01-14,15.46
2011-01-21,18.47
2011-01-28,20.04
2011-02-04,15.93
2011-02-11,15.69
2011-02-18,16.43
2011-02-25,19.22
2011-03-04,19.06
2011-03-11,20.08
2011-03-18,24.44
2011-03-25,17.91
2011-04-01,17.4
2011-04-08,17.87
2011-04-15,15.32
2011-04-22,14.69
2011-04-29,14.75
2011-05-06,18.4
2011-05-13,17.07
2011-05-20,17.43
2011-05-27,15.98
2011-06-03,17.95
2011-06-10,18.86
2011-06-17,21.85
2011-06-24,21.1
2011-07-01,15.87
2011-07-08,15.95
2011-07-15,19.53
2011-07-22,17.52
2011-07-29,25.25
2011-08-05,32.0
2011-08-12,36.36
2011-08-19,43.05
2011-08-26,35.59
2011-09-02,33.92
2011-09-09,38.52
2011-09-16,30.98
2011-09-23,41.25
2011-09-30,42.96
2011-10-07,36.2
2011-10-14,28.24
2011-10-21,31.32
2011-10-28,24.53
2011-11-04,30.16
2011-11-11,30.04
2011-11-18,32.0
2011-11-25,34.47
2011-12-02,27.52
2011-12-09,26.38
2011-12-16,24.29
2011-12-23,20.73
2011-12-30,23.4
2012-01-06,20.63
2012-01-13,20.91
2012-01-20,18.28
2012-01-27,18.53
2012-02-03,17.1
2012-02-10,20.79
2012-02-17,17.78
2012-02-24,17.31
2012-03-02,17.29
2012-03-09,17.11
2012-03-16,14.47
2012-03-23,14.82
2012-03-30,15.5
2012-04-06,16.7
2012-04-13,19.55
2012-04-20,17.44
2012-04-27,16.32
2012-05-04,19.16
2012-05-11,19.89
2012-05-18,25.1
2012-05-25,21.76
2012-06-01,26.66
2012-06-08,21.23
2012-06-15,21.11
2012-06-22,18.11
2012-06-29,17.08
2012-07-06,17.1
2012-07-13,16.74
2012-07-20,16.27
2012-07-27,16.7
2012-08-03,15.64
2012-08-10,14.74
2012-08-17,13.45
2012-08-24,15.18
2012-08-31,17.47
2012-09-07,14.38
2012-09-14,14.51
2012-09-21,13.98
2012-09-28,15.73
2012-10-05,14.33
2012-10-12,16.14
2012-10-19,17.06
2012-10-26,17.81
2012-11-02,17.59
2012-11-09,18.61
2012-11-16,16.41
2012-11-23,15.14
2012-11-30,15.87
2012-12-07,15.9
2012-12-14,17.0
2012-12-21,17.84
2012-12-28,22.72
2013-01-04,13.83
2013-01-11,13.36
2013-01-18,12.46
2013-01-25,12.89
2013-02-01,12.9
2013-02-08,13.02
2013-02-15,12.46
2013-02-22,14.17
2013-03-01,15.36
2013-03-08,12.59
2013-03-15,11.3
2013-03-22,13.57
2013-03-29,12.7
2013-04-05,13.92
2013-04-12,12.06
2013-04-19,14.97
2013-04-26,13.61
2013-05-03,12.85
2013-05-10,12.59
2013-05-17,12.45
2013-05-24,13.99
2013-05-31,16.3
2013-06-07,15.14
2013-06-14,17.15
2013-06-21,18.9
2013-06-28,16.86
2013-07-05,14.89
2013-07-12,13.84
2013-07-19,12.54
2013-07-26,12.72
2013-08-02,11.98
2013-08-09,13.41
2013-08-16,14.37
2013-08-23,13.98
2013-08-30,17.01
2013-09-06,15.85
2013-09-13,14.16
2013-09-20,13.12
2013-09-27,15.46
2013-10-04,16.74
2013-10-11,15.72
2013-10-18,13.04
2013-10-25,13.09
2013-11-01,13.28
2013-11-08,12.9
2013-11-15,12.19
2013-11-22,12.26
2013-11-29,13.7
2013-12-06,13.79
2013-12-13,15.76
2013-12-20,13.79
2013-12-27,12.46
2014-01-03,13.76
2014-01-10,12.14
2014-01-17,12.44
2014-01-24,18.14
2014-01-31,18.41
2014-02-07,15.29
2014-02-14,13.57
2014-02-21,14.68
2014-02-28,14.0
2014-03-07,14.11
2014-03-14,17.82
2014-03-21,15.0
2014-03-28,14.41
2014-04-04,13.96
2014-04-11,17.03
2014-04-18,13.36
2014-04-25,14.06
2014-05-02,12.91
2014-05-09,12.92
2014-05-16,12.44
2014-05-23,11.36
2014-05-30,11.4
2014-06-06,10.73
2014-06-13,12.18
2014-06-20,10.85
2014-06-27,11.26
2014-07-04,10.32
2014-07-11,12.08
2014-07-18,12.06
2014-07-25,12.69
2014-08-01,17.03
2014-08-08,15.77
2014-08-15,13.15
2014-08-22,11.47
2014-08-29,11.98
2014-09-05,12.09
2014-09-12,13.31
2014-09-19,12.11
2014-09-26,14.85
2014-10-03,14.55
2014-10-10,21.24
2014-10-17,21.99
2014-10-24,16.11
2014-10-31,14.03
2014-11-07,13.12
2014-11-14,13.31
2014-11-21,12.9
2014-11-28,13.33
2014-12-05,11.82
2014-12-12,21.08
2014-12-19,16.49
2014-12-26,14.5
2015-01-02,17.79
2015-01-09,17.55
2015-01-16,20.95
2015-01-23,16.66
2015-01-30,20.97
2015-02-06,17.29
2015-02-13,14.69
2015-02-20,14.3
2015-02-27,13.34
2015-03-06,15.2
2015-03-13,16.0
2015-03-20,13.02
2015-03-27,15.07
2015-04-03,14.67
2015-04-10,12.58
2015-04-17,13.89
2015-04-24,12.29
2015-05-01,12.7
2015-05-08,12.86
2015-05-15,12.38
2015-05-22,12.13
2015-05-29,13.84
2015-06-05,14.21
2015-06-12,13.78
2015-06-19,13.96
2015-06-26,14.02
2015-07-03,16.79
2015-07-10,16.83
2015-07-17,11.95
2015-07-24,13.74
2015-07-31,12.12
2015-08-07,13.39
2015-08-14,12.83
2015-08-21,28.03
2015-08-28,26.05
2015-09-04,27.8
2015-09-11,23.2
2015-09-18,22.28
2015-09-25,23.62
2015-10-02,20.94
2015-10-09,17.08
2015-10-16,15.05
2015-10-23,14.46
2015-10-30,15.07
2015-11-06,14.33
2015-11-13,20.08
2015-11-20,15.47
2015-11-27,15.12
2015-12-04,14.81
2015-12-11,24.39
2015-12-18,20.7
2015-12-25,15.74
2016-01-01,18.21
2016-01-08,27.01
2016-01-15,27.02
2016-01-22,22.34
2016-01-29,20.2
2016-02-05,23.38
2016-02-12,25.4
2016-02-19,20.53
2016-02-26,19.81
2016-03-04,16.86
2016-03-11,16.5
2016-03-18,14.02
2016-03-25,14.74
2016-04-01,13.1
2016-04-08,15.36
2016-04-15,13.62
2016-04-22,13.22
2016-04-29,15.7
2016-05-06,14.72
2016-05-13,15.04
2016-05-20,15.2
2016-05-27,13.12
2016-06-03,13.47
2016-06-10,17.03
2016-06-17,19.41
2016-06-24,25.76
2016-07-01,14.77
2016-07-08,13.2
2016-07-15,12.67
2016-07-22,12.02
2016-07-29,11.87
2016-08-05,11.39
2016-08-12,11.55
2016-08-19,11.34
2016-08-26,13.65
2016-09-02,11.98
2016-09-09,17.5
2016-09-16,15.37
2016-09-23,12.29
2016-09-30,13.29
2016-10-07,13.48
2016-10-14,16.12
2016-10-21,13.34
2016-10-28,16.19
2016-11-04,22.51
2016-11-11,14.17
2016-11-18,12.85
2016-11-25,12.34
2016-12-02,14.12
2016-12-09,11.75
2016-12-16,12.2
2016-12-23,11.44
2016-12-30,14.04
2017-01-06,11.32
2017-01-13,11.23
2017-01-20,11.54
2017-01-27,10.58
2017-02-03,10.97
2017-02-10,10.85
2017-02-17,11.49
2017-02-24,11.47
2017-03-03,10.96
2017-03-10,11.66
2017-03-17,11.28
2017-03-24,12.96
2017-03-31,12.37
2017-04-07,12.87
2017-04-14,15.96
2017-04-21,14.63
2017-04-28,10.82
2017-05-05,10.57
2017-05-12,10.4
2017-05-19,12.04
2017-05-26,9.81
2017-06-02,9.75
2017-06-09,10.7
2017-06-16,10.38
2017-06-23,10.02
2017-06-30,11.18
2017-07-07,11.19
2017-07-14,9.51
2017-07-21,9.36
2017-07-28,10.29
2017-08-04,10.03
2017-08-11,15.51
2017-08-18,14.26
2017-08-25,11.28
2017-09-01,10.13
2017-09-08,12.12
2017-09-15,10.17
2017-09-22,9.59
2017-09-29,9.51
2017-10-06,9.65
2017-10-13,9.61
2017-10-20,9.97
2017-10-27,9.8
2017-11-03,9.14
2017-11-10,11.29
2017-11-17,11.43
2017-11-24,9.67
2017-12-01,11.43
2017-12-08,9.58
2017-12-15,9.42
2017-12-22,9.9
2017-12-29,11.04
2018-01-05,9.22
2018-01-12,10.16
2018-01-19,11.27
2018-01-26,11.08
2018-02-02,17.31
2018-02-09,29.06
2018-02-16,19.46
2018-02-23,16.49
2018-03-02,19.59
2018-03-09,14.64
2018-03-16,15.8
2018-03-23,24.87
2018-03-30,19.97
2018-04-06,21.49
2018-04-13,17.41
2018-04-20,16.88
2018-04-27,15.41
2018-05-04,14.77
2018-05-11,12.65
2018-05-18,13.42
2018-05-25,13.22
2018-06-01,13.46
2018-06-08,12.18
2018-06-15,11.98
2018-06-22,13.77
2018-06-29,16.09
2018-07-06,13.37
2018-07-13,12.18
2018-07-20,12.86
2018-07-27,13.03
2018-08-03,11.64
2018-08-10,13.16
2018-08-17,12.64
2018-08-24,11.99
2018-08-31,12.86
2018-09-07,14.88
2018-09-14,12.07
2018-09-21,11.68
2018-09-28,12.12
2018-10-05,14.82
2018-10-12,21.31
2018-10-19,19.89
2018-10-26,24.16
2018-11-02,19.51
2018-11-09,17.36
2018-11-16,18.14
2018-11-23,21.52
2018-11-30,18.07
2018-12-07,23.23
2018-12-14,21.63
2018-12-21,30.11
2018-12-28,28.34
2019-01-04,21.38
2019-01-11,18.19
2019-01-18,17.8
2019-01-25,17.42
2019-02-01,16.14
2019-02-08,15.72
2019-02-15,14.91
2019-02-22,13.51
2019-03-01,13.57
2019-03-08,16.05
2019-03-15,12.88
2019-03-22,16.48
2019-03-29,13.71
2019-04-05,12.82
2019-04-12,12.01
2019-04-19,12.09
2019-04-26,12.73
2019-05-03,12.87
2019-05-10,16.04
2019-05-17,15.96
2019-05-24,15.85
2019-05-31,18.71
2019-06-07,16.3
2019-06-14,15.28
2019-06-21,15.4
2019-06-28,15.08
2019-07-05,13.28
2019-07-12,12.39
2019-07-19,14.45
2019-07-26,12.16
2019-08-02,17.61
2019-08-09,17.97
2019-08-16,18.47
2019-08-23,19.87
2019-08-30,18.98
2019-09-06,15.0
2019-09-13,13.74
2019-09-20,15.32
2019-09-27,17.22
2019-10-04,17.04
2019-10-11,15.58
2019-10-18,14.25
2019-10-25,12.65
2019-11-01,12.3
2019-11-08,12.07
2019-11-15,12.05
2019-11-22,12.34
2019-11-29,12.62
2019-12-06,13.62
2019-12-13,12.63
2019-12-20,12.51
2019-12-27,13.43
2020-01-03,13.78
